AwardID,teams,hub,site,node,AwardTitle,Agency,AwardEffectiveDate,AwardExpirationDate,AwardTotalIntnAmount,AwardAmount,AwardInstrument,Organization_Code,Directorate_Abbreviation,Directorate_LongName,Division_Abbreviation,Division_LongName,Year,sbir,sbir_1,sbir_2,sttr,sttr_1,sttr_2
1640650,`,,1,,I-CORPS Hemolix - Technology for detection of pregnancy complications,NSF,5/15/16,5/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
2044502,,1,,,I-Corps Hub: Mid-Atlantic Region,NSF,1/1/22,12/31/26,15000000,9725124,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2020,0,0,0,0,0,0
1644559,1,,,,I-Corps L Compressible Flow Water Table,NSF,7/15/16,6/30/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644533,1,,,,I-Corps L to discover a sustainable model that will support and scale BioBuilder's curriculum and teacher professional development activities,NSF,7/15/16,12/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644552,1,,,,I-Corps L VRFE: Virtual Reality Field Experiences,NSF,7/15/16,12/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644450,1,,,,I-Corps L:   Journal of Undergraduate Research  : An Educational Platform for Improving Scientific Literacy,NSF,8/1/16,1/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644554,1,,,,I-Corps L:   Leveraging Citizen Science Pathways To Connect Millions Of People With Citizen Science Tools,NSF,8/1/16,1/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1547417,1,,,,I-Corps L:  A Commercial Approach to Distribute Fused Research-Mentoring Modules,NSF,8/15/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1505423,1,,,,"I-Corps L:  A Comprehensive Underwater Robotics Learning Package - Lesson and Activity Book, ROV kit and Lab Resources",NSF,2/1/15,7/31/15,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1514640,1,,,,I-Corps L:  A Scalable Online Education Model for STEM Teacher Training,NSF,12/15/14,5/31/15,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1547954,1,,,,I-Corps L:  A Tool for Peer Assessment Grading and Evaluation - PeerAGE,NSF,8/15/15,12/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1546723,1,,,,I-Corps L:  B2 Scholars: A Professional Development Model from BioQUEST,NSF,8/15/15,7/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1546665,1,,,,I-Corps L:  CyberMentoring Network (CMN) for Broadening the Participation of Underrepresented Students in STEM,NSF,8/15/15,7/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1519211,1,,,,I-Corps L:  ET-CONNECT: Employer-Talent CONNECT Pathways for Long Term Employment for Innovative and Motivated STEM Workforce,NSF,1/15/15,6/30/15,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1547691,1,,,,I-Corps L:  Flipping the STEM Classroom Made Easy and Sustainable - Resources for Faculty,NSF,8/1/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1546979,1,,,,"I-Corps L:  Hands-on Modules for Fluid Mechanics and Heat Transfer, A Market Transition",NSF,7/15/15,12/31/15,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1547057,1,,,,I-Corps L:  Implementing Systemic Change around Equity in Mathematics,NSF,8/15/15,10/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
