Institution_OrgUEINum,Institution_Name,Research
D3LHU66KBLD5,university of north carolina at chapel hill,R1
JB33DT84JNA5,university of north carolina at charlotte,R2
MHM6MGJFANE7,university of north florida,R2
G47WN1XZNWX9,university of north texas,R1
FPU6XGFXMBE9,university of notre dame,R1
GM1XX56LEP58,university of pennsylvania,R1
Q3LLLDFHPNL3,university of puerto rico-rio piedras,R2
CJDNG9D14MW7,university of rhode island,R2
F27KDXZMF9Y8,university of rochester,R1
V6S1GT51XD56,university of san diego,R2
QB12VPNQQFE8,university of south alabama,R2
NKAZLXLL7Z91,university of south florida,R1
G88KLJR3KYT5,university of southern california,R1
M1K8LJAET5R1,university of southern mississippi,R1
XA77NAJYELF1,university of toledo,R2
P23YK1EKPS51,university of tulsa,R2
LL8GLEVH6MG3,university of utah,R1
LCLSJAGTNZQ7,university of wisconsin-madison,R1
JBQ9M3PLFDP5,university of wisconsin-milwaukee,R1
FDR5YF2K32X5,university of wyoming,R2
SPE2YDWHDYU4,utah state university,R1
GTNBNWXJ12D5,vanderbilt university,R1
EYNYSU6L8ZX6,villanova university,R2
MLQFL4JSSAA9,virginia commonwealth university,R1
QDE5UHE5XD16,virginia polytechnic institute and state university,R1
XRJSGX384TD6,washington state university,R1
M6K6NTJ2MNE5,wayne state university,R1
LJGZZLEEMG63,west chester university of pennsylvania,R2
MNL4D3VQUWA5,west virginia university,R1
J7WULLYGFRH1,western michigan university,R2
JKKNZLNYLJ19,wichita state university,R2
HJNQME41NBU4,worcester polytechnic institute,R2
FL6GV84CKN57,yale university,R1
